traffic_type,ts,src_ip,src_port,dst_ip,dst_port,label,kali_source,dur,spkts,dpkts,sbytes,dbytes,rate,sload,dload,smean,dmean,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_sm_ips_ports,proto,service,state
dns_brust,1787882938.488111,192.168.10.30,45948,192.168.10.20,53,1,1,0.000456,1,1,76,80,4385.964912280701,1333333.3333333333,1403508.7719298245,76.0,80.0,77,77,77,77,77,1,77,0,udp,dns,FIN
dns_brust,1787882938.498023,192.168.10.30,37810,192.168.10.20,53,1,1,0.000315,1,1,76,80,6349.206349206349,1930158.7301587302,2031746.0317460317,76.0,80.0,78,78,78,78,78,1,78,0,udp,dns,FIN
dns_brust,1787882938.507837,192.168.10.30,43129,192.168.10.20,53,1,1,0.000426,1,1,76,80,4694.835680751174,1427230.0469483568,1502347.4178403756,76.0,80.0,79,79,79,79,79,1,79,0,udp,dns,FIN
dns_brust,1787882938.518986,192.168.10.30,42806,192.168.10.20,53,1,1,0.00032,1,1,76,80,6249.999999999999,1899999.9999999998,1999999.9999999998,76.0,80.0,80,80,80,80,80,1,80,0,udp,dns,FIN
dns_brust,1787882938.529056,192.168.10.30,42297,192.168.10.20,53,1,1,0.000453,1,1,76,80,4415.0110375275935,1342163.3554083884,1412803.53200883,76.0,80.0,81,81,81,81,81,1,81,0,udp,dns,FIN
dns_brust,1787882938.539281,192.168.10.30,36365,192.168.10.20,53,1,1,0.000507,1,1,76,80,3944.7731755424065,1199211.0453648916,1262327.41617357,76.0,80.0,82,82,82,82,82,1,82,0,udp,dns,FIN
dns_brust,1787882938.550156,192.168.10.30,45612,192.168.10.20,53,1,1,0.000402,1,1,76,80,4975.124378109453,1512437.8109452736,1592039.8009950249,76.0,80.0,83,83,83,83,83,1,83,0,udp,dns,FIN
dns_brust,1787882938.560722,192.168.10.30,36361,192.168.10.20,53,1,1,0.00027,1,1,76,80,7407.407407407407,2251851.8518518517,2370370.3703703703,76.0,80.0,84,84,84,84,84,1,84,0,udp,dns,FIN
dns_brust,1787882938.570466,192.168.10.30,54232,192.168.10.20,53,1,1,0.000295,1,1,76,80,6779.661016949152,2061016.9491525423,2169491.525423729,76.0,80.0,85,85,85,85,85,1,85,0,udp,dns,FIN
dns_brust,1787882938.581044,192.168.10.30,53499,192.168.10.20,53,1,1,0.000501,1,1,76,80,3992.015968063872,1213572.8542914172,1277445.109780439,76.0,80.0,86,86,86,86,86,1,86,0,udp,dns,FIN
dns_brust,1787882938.591509,192.168.10.30,48799,192.168.10.20,53,1,1,0.000303,1,1,76,80,6600.660066006601,2006600.6600660067,2112211.221122112,76.0,80.0,87,87,87,87,87,1,87,0,udp,dns,FIN
dns_brust,1787882938.602107,192.168.10.30,37974,192.168.10.20,53,1,1,0.000527,1,1,76,80,3795.066413662239,1153700.1897533205,1214421.2523719165,76.0,80.0,88,88,88,88,88,1,88,0,udp,dns,FIN
dns_brust,1787882938.612273,192.168.10.30,59030,192.168.10.20,53,1,1,0.000388,1,1,76,80,5154.639175257732,1567010.3092783506,1649484.5360824743,76.0,80.0,89,89,89,89,89,1,89,0,udp,dns,FIN
dns_brust,1787882938.622969,192.168.10.30,56932,192.168.10.20,53,1,1,0.00056,1,1,76,80,3571.4285714285716,1085714.285714286,1142857.142857143,76.0,80.0,90,90,90,90,90,1,90,0,udp,dns,FIN
dns_brust,1787882938.633055,192.168.10.30,41601,192.168.10.20,53,1,1,0.000545,1,1,76,80,3669.7247706422017,1115596.3302752294,1174311.9266055045,76.0,80.0,91,91,91,91,91,1,91,0,udp,dns,FIN
dns_brust,1787882938.643675,192.168.10.30,35703,192.168.10.20,53,1,1,0.000544,1,1,76,80,3676.470588235294,1117647.0588235294,1176470.5882352942,76.0,80.0,92,92,92,92,92,1,92,0,udp,dns,FIN
dns_brust,1787882938.654239,192.168.10.30,48401,192.168.10.20,53,1,1,0.000454,1,1,76,80,4405.286343612335,1339207.04845815,1409691.6299559472,76.0,80.0,93,93,93,93,93,1,93,0,udp,dns,FIN
dns_brust,1787882938.664049,192.168.10.30,52012,192.168.10.20,53,1,1,0.000482,1,1,76,80,4149.377593360996,1261410.7883817428,1327800.8298755186,76.0,80.0,94,94,94,94,94,1,94,0,udp,dns,FIN
dns_brust,1787882938.674639,192.168.10.30,43281,192.168.10.20,53,1,1,0.000618,1,1,76,80,3236.245954692557,983818.7702265372,1035598.7055016182,76.0,80.0,95,95,95,95,95,1,95,0,udp,dns,FIN
dns_brust,1787882938.685019,192.168.10.30,57263,192.168.10.20,53,1,1,0.000414,1,1,76,80,4830.917874396136,1468599.0338164251,1545893.7198067633,76.0,80.0,96,96,96,96,96,1,96,0,udp,dns,FIN
dns_brust,1787882938.695123,192.168.10.30,34624,192.168.10.20,53,1,1,0.000396,1,1,76,80,5050.505050505051,1535353.5353535356,1616161.6161616163,76.0,80.0,97,97,97,97,97,1,97,0,udp,dns,FIN
dns_brust,1787882938.70527,192.168.10.30,59674,192.168.10.20,53,1,1,0.000303,1,1,76,80,6600.660066006601,2006600.6600660067,2112211.221122112,76.0,80.0,98,98,98,98,98,1,98,0,udp,dns,FIN
dns_brust,1787882938.715331,192.168.10.30,37360,192.168.10.20,53,1,1,0.000358,1,1,76,80,5586.59217877095,1698324.0223463688,1787709.497206704,76.0,80.0,99,99,99,99,99,1,99,0,udp,dns,FIN
dns_brust,1787882938.725241,192.168.10.30,33033,192.168.10.20,53,1,1,0.000312,1,1,76,80,6410.25641025641,1948717.9487179487,2051282.0512820513,76.0,80.0,100,100,100,100,100,1,100,0,udp,dns,FIN
dns_brust,1787882938.735038,192.168.10.30,48160,192.168.10.20,53,1,1,0.000316,1,1,76,80,6329.113924050634,1924050.6329113925,2025316.4556962026,76.0,80.0,100,100,100,100,100,1,100,0,udp,dns,FIN
dns_brust,1787882938.745145,192.168.10.30,38990,192.168.10.20,53,1,1,0.000455,1,1,76,80,4395.604395604396,1336263.7362637362,1406593.4065934066,76.0,80.0,100,100,100,100,100,1,100,0,udp,dns,FIN
dns_brust,1787882938.755085,192.168.10.30,52593,192.168.10.20,53,1,1,0.000303,1,1,76,80,6600.660066006601,2006600.6600660067,2112211.221122112,76.0,80.0,100,100,100,100,100,1,100,0,udp,dns,FIN
dns_brust,1787882938.764991,192.168.10.30,35552,192.168.10.20,53,1,1,0.000301,1,1,76,80,6644.518272425249,2019933.5548172758,2126245.8471760796,76.0,80.0,100,100,100,100,100,1,100,0,udp,dns,FIN
dns_brust,1787882938.77467,192.168.10.30,55408,192.168.10.20,53,1,1,0.000303,1,1,76,80,6600.660066006601,2006600.6600660067,2112211.221122112,76.0,80.0,100,100,100,100,100,1,100,0,udp,dns,FIN
dns_brust,1787882938.784976,192.168.10.30,34427,192.168.10.20,53,1,1,0.000294,1,1,76,80,6802.721088435374,2068027.2108843538,2176870.7482993198,76.0,80.0,100,100,100,100,100,1,100,0,udp,dns,FIN
dns_brust,1787882938.795015,192.168.10.30,37843,192.168.10.20,53,1,1,0.000307,1,1,76,80,6514.657980456026,1980456.026058632,2084690.5537459285,76.0,80.0,100,100,100,100,100,1,100,0,udp,dns,FIN
dns_brust,1787882938.804693,192.168.10.30,33194,192.168.10.20,53,1,1,0.000296,1,1,76,80,6756.756756756757,2054054.0540540542,2162162.1621621624,76.0,80.0,100,100,100,100,100,1,100,0,udp,dns,FIN
dns_brust,1787882938.824765,192.168.10.30,60584,192.168.10.20,53,1,1,0.000306,1,1,76,80,6535.9477124183,1986928.1045751632,2091503.267973856,76.0,80.0,100,100,100,100,100,1,100,0,udp,dns,FIN
dns_brust,1787882938.834456,192.168.10.30,50537,192.168.10.20,53,1,1,0.000385,1,1,76,80,5194.805194805195,1579220.7792207792,1662337.6623376624,76.0,80.0,100,100,100,100,100,1,100,0,udp,dns,FIN
dns_brust,1787882938.844571,192.168.10.30,58422,192.168.10.20,53,1,1,0.000569,1,1,76,80,3514.9384885764503,1068541.3005272408,1124780.316344464,76.0,80.0,100,100,100,100,100,1,100,0,udp,dns,FIN
dns_brust,1787882938.856191,192.168.10.30,59984,192.168.10.20,53,1,1,0.000291,1,1,76,80,6872.852233676976,2089347.0790378004,2199312.714776632,76.0,80.0,100,100,100,100,100,1,100,0,udp,dns,FIN
dns_brust,1787882938.865997,192.168.10.30,53250,192.168.10.20,53,1,1,0.00028,1,1,76,80,7142.857142857143,2171428.571428572,2285714.285714286,76.0,80.0,100,100,100,100,100,1,100,0,udp,dns,FIN
dns_brust,1787882938.876232,192.168.10.30,58148,192.168.10.20,53,1,1,0.000441,1,1,76,80,4535.14739229025,1378684.807256236,1451247.1655328798,76.0,80.0,100,100,100,100,100,1,100,0,udp,dns,FIN
